Rank,Name,Actor,Year,Score,Country,ImgName
51,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008/12/25,8.8,美国,51_本杰明·巴顿奇事.jpg
52,指环王2：双塔奇兵,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003/4/25,9.1,,52_指环王2：双塔奇兵.jpg
53,指环王1：护戒使者,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2002/4/4,9,,53_指环王1：护戒使者.jpg
54,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013/9/4,8.8,英国,54_时空恋旅人.jpg
55,末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987/10/23,8.8,,55_末代皇帝.jpg
56,天空之城,"寺田农,鹫尾真知子,龟山助清",1992/5/1,9,,56_天空之城.jpg
57,风之谷,"岛本须美,永井一郎,坂本千夏",1998/5/1,8.8,,57_风之谷.jpg
58,幽灵公主,"松田洋治,石田百合子,田中裕子",2012/8/27,8.9,,58_幽灵公主.jpg
59,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",1957/4/13,8.9,美国,59_蝙蝠侠：黑暗骑士崛起.jpg
61,素媛,"李甄,薛耿求,严智苑",2013/10/2,9.1,韩国,61_素媛.jpg
62,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014/10/24,8.8,,62_大话西游之大圣娶亲.jpg
63,教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",2015/4/18,9.3,,63_教父.jpg
64,海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011/8/12,8.9,,64_海洋.jpg
65,黑客帝国,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",2000/1/14,9,,65_黑客帝国.jpg
66,鬼子来了,"姜文,姜鸿波,陈强",2000/5/13,8.9,法国,66_鬼子来了.jpg
67,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011/8/4,9,,67_哈利·波特与死亡圣器（下）.jpg
68,辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993/11/30,9.2,美国,68_辛德勒的名单.jpg
69,指环王3：王者无敌,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004/3/15,9.2,,69_指环王3：王者无敌.jpg
70,7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013/1/23,8.9,韩国,70_7号房的礼物.jpg
71,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010/9/1,9.2,,71_盗梦空间.jpg
72,加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003/11/21,8.9,,72_加勒比海盗.jpg
73,当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008/1/17,9.3,,73_当幸福来敲门.jpg
74,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008/8/28,9,英国,74_穿条纹睡衣的男孩.jpg
75,音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965/3/2,9,美国,75_音乐之声.jpg
76,无间道,"刘德华,梁朝伟,黄秋生",2003/9/5,9.1,,76_无间道.jpg
77,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006/10/17,8.8,意大利,77_致命魔术.jpg
78,小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",2011/9/17,9.1,日本,78_小鞋子.jpg
79,萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2012/11/22,9,,79_萤火之森.jpg
81,断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005/9/2,8.9,意大利,81_断背山.jpg
82,罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953/8/20,9,意大利,82_罗马假日.jpg
83,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994/11/11,8.8,美国,83_夜访吸血鬼.jpg
84,天堂电影院,"菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",1988/9/29,9.2,意大利,84_天堂电影院.jpg
85,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹??奎因",2010/7/26,8.9,美国,85_怦然心动.jpg
86,乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939/12/15,9.1,美国,86_乱世佳人.jpg
87,完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993/11/24,8.9,美国,87_完美的世界.jpg
88,霸王别姬,"张国荣,张丰毅,巩俐",1993/7/26,9.5,,88_霸王别姬.jpg
